id,description,learning_outcomes,Skill,Level,Knowledge Required,Task Abilities
6004364299427,"there is a subtle balance between improvements in business operations by using big data analytics and increased risk if ( inadvertently ) overstepping certain legal or social boundaries . this course addresses the pros and cons of using data analytics in business and social , ethical and security issues associated with it . several real - world cases will be discusses and analyzed in the course .",,business operations,3,"['business strategy', 'process optimization', 'performance measurement']","['process improvement', 'efficiency analysis', 'solution implementation.']"
6004364299427,"there is a subtle balance between improvements in business operations by using big data analytics and increased risk if ( inadvertently ) overstepping certain legal or social boundaries . this course addresses the pros and cons of using data analytics in business and social , ethical and security issues associated with it . several real - world cases will be discusses and analyzed in the course .",,ethical analysis,3,"['ethical principles', 'societal impact', 'bias detection']","['ethical dilemma assessment', 'responsible data use', 'stakeholder engagement.']"
6004364299427,"there is a subtle balance between improvements in business operations by using big data analytics and increased risk if ( inadvertently ) overstepping certain legal or social boundaries . this course addresses the pros and cons of using data analytics in business and social , ethical and security issues associated with it . several real - world cases will be discusses and analyzed in the course .",,communication,3,"['report writing', 'presentation skills', 'active listening']","['information synthesis', 'clear explanation', 'stakeholder communication.']"
8014409002470,"this course provides a survey of research findings on consumer behavior drawn from marketing , economics , sociology , psychology , and anthropology . emphasis is placed on applications of research to consumer satisfaction and on developing an understanding of the consumer decision - making process .","an overview of consumer behavior and terminology 's used to encourage and develop analytical thinking to increase thinking , management , and evaluation of marketing materials via analysis of consumer behavior . a perspective of marketing and consumer behavior from real life work experience along with in class exchanges of ideas and evaluations .",Consumer Behavior,4,"['research findings', 'decision-making process', 'marketing applications.']","['consumer analysis', 'marketing strategy', 'decision-making.']"
8014409002470,"this course provides a survey of research findings on consumer behavior drawn from marketing , economics , sociology , psychology , and anthropology . emphasis is placed on applications of research to consumer satisfaction and on developing an understanding of the consumer decision - making process .","an overview of consumer behavior and terminology 's used to encourage and develop analytical thinking to increase thinking , management , and evaluation of marketing materials via analysis of consumer behavior . a perspective of marketing and consumer behavior from real life work experience along with in class exchanges of ideas and evaluations .",Analytical Thinking,3,"['critical thinking', 'problem solving', 'data analysis.']","['evaluation', 'interpretation', 'problem solving.']"
8014409002470,"this course provides a survey of research findings on consumer behavior drawn from marketing , economics , sociology , psychology , and anthropology . emphasis is placed on applications of research to consumer satisfaction and on developing an understanding of the consumer decision - making process .","an overview of consumer behavior and terminology 's used to encourage and develop analytical thinking to increase thinking , management , and evaluation of marketing materials via analysis of consumer behavior . a perspective of marketing and consumer behavior from real life work experience along with in class exchanges of ideas and evaluations .",Marketing Materials,3,"['advertising', 'promotion techniques', 'consumer psychology.']","['campaign analysis', 'material evaluation', 'communication strategy.']"
15728170259237,rigorous introduction to chemistry of carbon - containing compounds . reaction mechanisms and recent methods of synthesis emphasized .,"describe the bonding properties of the element carbon . describe the relationship between a compound 's structure and its physical properties . describe the relationship between a compound 's structure and its chemical properties . define acids and bases in terms of bronsted - lowry and lewis acid - base theory . define bond dissociation energy , activation energy , and enthalpy of reaction in terms of transition state theory . outline the reaction mechanisms for nucleophilic substitution , elimination , electrophilic addition , and free radical reactions as applied to alkanes , organic halogen compounds , alkenes , alkynes , and conjugated dienes . compare stabilities of confirmations of cyclic and acyclic compounds . name and draw structures of appropriate examples of organic compounds . outline stepwise syntheses of organic compounds from simpler starting compounds . interpret infrared and nuclear magnetic resonance spectra . describe methods of separating stereoisomers from each other . use accepted nomenclature conventions to define the structures of stereoisomers .",Bond Properties,4,"['chemical bonding', 'molecular structure', 'carbon bonding']","['describe structure', 'predict properties', 'analyze mechanisms.']"
15728170259237,rigorous introduction to chemistry of carbon - containing compounds . reaction mechanisms and recent methods of synthesis emphasized .,"describe the bonding properties of the element carbon . describe the relationship between a compound 's structure and its physical properties . describe the relationship between a compound 's structure and its chemical properties . define acids and bases in terms of bronsted - lowry and lewis acid - base theory . define bond dissociation energy , activation energy , and enthalpy of reaction in terms of transition state theory . outline the reaction mechanisms for nucleophilic substitution , elimination , electrophilic addition , and free radical reactions as applied to alkanes , organic halogen compounds , alkenes , alkynes , and conjugated dienes . compare stabilities of confirmations of cyclic and acyclic compounds . name and draw structures of appropriate examples of organic compounds . outline stepwise syntheses of organic compounds from simpler starting compounds . interpret infrared and nuclear magnetic resonance spectra . describe methods of separating stereoisomers from each other . use accepted nomenclature conventions to define the structures of stereoisomers .",Reaction Mechanisms,4,"['reaction kinetics', 'transition states', 'organic reactions']","['predict products', 'outline pathways', 'analyze reaction rates.']"
15728170259237,rigorous introduction to chemistry of carbon - containing compounds . reaction mechanisms and recent methods of synthesis emphasized .,"describe the bonding properties of the element carbon . describe the relationship between a compound 's structure and its physical properties . describe the relationship between a compound 's structure and its chemical properties . define acids and bases in terms of bronsted - lowry and lewis acid - base theory . define bond dissociation energy , activation energy , and enthalpy of reaction in terms of transition state theory . outline the reaction mechanisms for nucleophilic substitution , elimination , electrophilic addition , and free radical reactions as applied to alkanes , organic halogen compounds , alkenes , alkynes , and conjugated dienes . compare stabilities of confirmations of cyclic and acyclic compounds . name and draw structures of appropriate examples of organic compounds . outline stepwise syntheses of organic compounds from simpler starting compounds . interpret infrared and nuclear magnetic resonance spectra . describe methods of separating stereoisomers from each other . use accepted nomenclature conventions to define the structures of stereoisomers .",Organic Synthesis,4,"['synthetic methods', 'retrosynthesis', 'functional groups']","['design syntheses', 'plan routes', 'predict transformations.']"
15728170259237,rigorous introduction to chemistry of carbon - containing compounds . reaction mechanisms and recent methods of synthesis emphasized .,"describe the bonding properties of the element carbon . describe the relationship between a compound 's structure and its physical properties . describe the relationship between a compound 's structure and its chemical properties . define acids and bases in terms of bronsted - lowry and lewis acid - base theory . define bond dissociation energy , activation energy , and enthalpy of reaction in terms of transition state theory . outline the reaction mechanisms for nucleophilic substitution , elimination , electrophilic addition , and free radical reactions as applied to alkanes , organic halogen compounds , alkenes , alkynes , and conjugated dienes . compare stabilities of confirmations of cyclic and acyclic compounds . name and draw structures of appropriate examples of organic compounds . outline stepwise syntheses of organic compounds from simpler starting compounds . interpret infrared and nuclear magnetic resonance spectra . describe methods of separating stereoisomers from each other . use accepted nomenclature conventions to define the structures of stereoisomers .",Spectroscopy Interpretation,3,"['IR & NMR techniques', 'functional group analysis', 'spectral data']","['identify compounds', 'analyze structures', 'interpret spectra.']"
15728170259237,rigorous introduction to chemistry of carbon - containing compounds . reaction mechanisms and recent methods of synthesis emphasized .,"describe the bonding properties of the element carbon . describe the relationship between a compound 's structure and its physical properties . describe the relationship between a compound 's structure and its chemical properties . define acids and bases in terms of bronsted - lowry and lewis acid - base theory . define bond dissociation energy , activation energy , and enthalpy of reaction in terms of transition state theory . outline the reaction mechanisms for nucleophilic substitution , elimination , electrophilic addition , and free radical reactions as applied to alkanes , organic halogen compounds , alkenes , alkynes , and conjugated dienes . compare stabilities of confirmations of cyclic and acyclic compounds . name and draw structures of appropriate examples of organic compounds . outline stepwise syntheses of organic compounds from simpler starting compounds . interpret infrared and nuclear magnetic resonance spectra . describe methods of separating stereoisomers from each other . use accepted nomenclature conventions to define the structures of stereoisomers .",Stereochemical Concepts,3,"['isomerism', 'chiral centers', 'stereochemistry']","['classify isomers', 'predict stereochemistry', 'name stereoisomers.']"
16097537445411,introduction to the study of the materials and processes that have modified and shaped the surface and interior of earth over time . these processes aredescribed by theories based on experimental data and geologic data gathered from field observations .,"describe how the scientific method has led to our current understanding of earthâs structure and processes . interpret the origin and distribution of minerals , rocks and geologic resources . describe the theory of plate tectonics and its relationship to the formation and distribution of earthâs crustal features . quantify the rates of physical and chemical processes acting on earth and how these processes fit into the context of geologic time . communicate how surface processes are driven by interactions among earthâs systems ( e.g. , the geosphere , hydrosphere , biosphere , and atmosphere ) . identify and describe the internal structure and dynamics of earth . describe the interaction of humans with earth ( e.g. , resource development or hazard assessment ) . classify rocks and minerals based on chemical composition , physical properties , and origin . apply knowledge of topographic maps to quantify geometrical aspects of topography . identify landforms on maps , diagrams , and/or photographs and explain the processes that created them . differentiate the types of plate boundaries and their associated features on maps and profiles and explain the processes that occur at each type of boundary . identify basic structural features on maps , block diagrams and cross sections and infer how they were created . demonstrate the collection , analysis , and reporting of data . gather and assess information on a geological area of interest or problem relevant to a question in physical geology . analyze , evaluate , and synthesize information about physical geology . develop , interpret , and express ideas about physical geology through visual communication . manipulate and analyze observable geological information in physical geology and arrive at an informed conclusion . integrate different viewpoints as a member of a team . work with others to support and accomplish a shared goal . analyze , evaluate , and synthesize information relevant to a question . develop , interpret , and express ideas through written , oral , and visual communication . manipulate and analyze numerical data or observable facts to arrive at an informed conclusion . consider different points of view and work effectively with others to support a shared purpose or goal .",data analysis,3,"['geologic data', 'statistical methods', 'data visualization techniques']","['data interpretation', 'pattern identification', 'report generation.']"
16097537445411,introduction to the study of the materials and processes that have modified and shaped the surface and interior of earth over time . these processes aredescribed by theories based on experimental data and geologic data gathered from field observations .,"describe how the scientific method has led to our current understanding of earthâs structure and processes . interpret the origin and distribution of minerals , rocks and geologic resources . describe the theory of plate tectonics and its relationship to the formation and distribution of earthâs crustal features . quantify the rates of physical and chemical processes acting on earth and how these processes fit into the context of geologic time . communicate how surface processes are driven by interactions among earthâs systems ( e.g. , the geosphere , hydrosphere , biosphere , and atmosphere ) . identify and describe the internal structure and dynamics of earth . describe the interaction of humans with earth ( e.g. , resource development or hazard assessment ) . classify rocks and minerals based on chemical composition , physical properties , and origin . apply knowledge of topographic maps to quantify geometrical aspects of topography . identify landforms on maps , diagrams , and/or photographs and explain the processes that created them . differentiate the types of plate boundaries and their associated features on maps and profiles and explain the processes that occur at each type of boundary . identify basic structural features on maps , block diagrams and cross sections and infer how they were created . demonstrate the collection , analysis , and reporting of data . gather and assess information on a geological area of interest or problem relevant to a question in physical geology . analyze , evaluate , and synthesize information about physical geology . develop , interpret , and express ideas about physical geology through visual communication . manipulate and analyze observable geological information in physical geology and arrive at an informed conclusion . integrate different viewpoints as a member of a team . work with others to support and accomplish a shared goal . analyze , evaluate , and synthesize information relevant to a question . develop , interpret , and express ideas through written , oral , and visual communication . manipulate and analyze numerical data or observable facts to arrive at an informed conclusion . consider different points of view and work effectively with others to support a shared purpose or goal .",communication,3,"['visual aids', 'technical writing', 'presentation skills']","['report writing', 'presentation delivery', 'information synthesis.']"
16097537445411,introduction to the study of the materials and processes that have modified and shaped the surface and interior of earth over time . these processes aredescribed by theories based on experimental data and geologic data gathered from field observations .,"describe how the scientific method has led to our current understanding of earthâs structure and processes . interpret the origin and distribution of minerals , rocks and geologic resources . describe the theory of plate tectonics and its relationship to the formation and distribution of earthâs crustal features . quantify the rates of physical and chemical processes acting on earth and how these processes fit into the context of geologic time . communicate how surface processes are driven by interactions among earthâs systems ( e.g. , the geosphere , hydrosphere , biosphere , and atmosphere ) . identify and describe the internal structure and dynamics of earth . describe the interaction of humans with earth ( e.g. , resource development or hazard assessment ) . classify rocks and minerals based on chemical composition , physical properties , and origin . apply knowledge of topographic maps to quantify geometrical aspects of topography . identify landforms on maps , diagrams , and/or photographs and explain the processes that created them . differentiate the types of plate boundaries and their associated features on maps and profiles and explain the processes that occur at each type of boundary . identify basic structural features on maps , block diagrams and cross sections and infer how they were created . demonstrate the collection , analysis , and reporting of data . gather and assess information on a geological area of interest or problem relevant to a question in physical geology . analyze , evaluate , and synthesize information about physical geology . develop , interpret , and express ideas about physical geology through visual communication . manipulate and analyze observable geological information in physical geology and arrive at an informed conclusion . integrate different viewpoints as a member of a team . work with others to support and accomplish a shared goal . analyze , evaluate , and synthesize information relevant to a question . develop , interpret , and express ideas through written , oral , and visual communication . manipulate and analyze numerical data or observable facts to arrive at an informed conclusion . consider different points of view and work effectively with others to support a shared purpose or goal .",problem solving,3,"['logical reasoning', 'decision making', 'analytical thinking']","['issue identification', 'solution development', 'evaluation.']"
16097537445411,introduction to the study of the materials and processes that have modified and shaped the surface and interior of earth over time . these processes aredescribed by theories based on experimental data and geologic data gathered from field observations .,"describe how the scientific method has led to our current understanding of earthâs structure and processes . interpret the origin and distribution of minerals , rocks and geologic resources . describe the theory of plate tectonics and its relationship to the formation and distribution of earthâs crustal features . quantify the rates of physical and chemical processes acting on earth and how these processes fit into the context of geologic time . communicate how surface processes are driven by interactions among earthâs systems ( e.g. , the geosphere , hydrosphere , biosphere , and atmosphere ) . identify and describe the internal structure and dynamics of earth . describe the interaction of humans with earth ( e.g. , resource development or hazard assessment ) . classify rocks and minerals based on chemical composition , physical properties , and origin . apply knowledge of topographic maps to quantify geometrical aspects of topography . identify landforms on maps , diagrams , and/or photographs and explain the processes that created them . differentiate the types of plate boundaries and their associated features on maps and profiles and explain the processes that occur at each type of boundary . identify basic structural features on maps , block diagrams and cross sections and infer how they were created . demonstrate the collection , analysis , and reporting of data . gather and assess information on a geological area of interest or problem relevant to a question in physical geology . analyze , evaluate , and synthesize information about physical geology . develop , interpret , and express ideas about physical geology through visual communication . manipulate and analyze observable geological information in physical geology and arrive at an informed conclusion . integrate different viewpoints as a member of a team . work with others to support and accomplish a shared goal . analyze , evaluate , and synthesize information relevant to a question . develop , interpret , and express ideas through written , oral , and visual communication . manipulate and analyze numerical data or observable facts to arrive at an informed conclusion . consider different points of view and work effectively with others to support a shared purpose or goal .",teamwork,3,"['collaboration', 'communication', 'conflict resolution']","['group discussion', 'shared goal pursuit', 'task delegation.']"
